dataset,category,model,interpolation,pooling,K,window_size,detection,image_AUROC,pixel_AUPRO
visa,fryum,spalwinnn,bilinear,True,-1,9,True,0.9210000038146973,0.8483954071998596
visa,macaroni1,spalwinnn,bilinear,True,-1,9,True,0.9241999983787537,0.9203218817710876
visa,macaroni2,spalwinnn,bilinear,True,-1,9,True,0.7622000575065613,0.8619232177734375
visa,pcb1,spalwinnn,bilinear,True,-1,9,True,0.9490000009536743,0.8974920511245728
visa,pcb2,spalwinnn,bilinear,True,-1,9,True,0.9624999761581421,0.8974999785423279
visa,pcb3,spalwinnn,bilinear,True,-1,9,True,0.9698020219802856,0.8749710321426392
visa,pcb4,spalwinnn,bilinear,True,-1,9,True,0.9977227449417114,0.879292905330658
visa,pipe_fryum,spalwinnn,bilinear,True,-1,9,True,0.9923999905586243,0.9419054388999939
mvtec_ad,bottle,spalwinnn,bilinear,True,-1,11,True,1.0,0.9413577914237976
mvtec_ad,cable,spalwinnn,bilinear,True,-1,11,True,0.963080883026123,0.924397349357605
mvtec_ad,capsule,spalwinnn,bilinear,True,-1,11,True,0.9908256530761719,0.9408772587776184
mvtec_ad,carpet,spalwinnn,bilinear,True,-1,11,True,0.9771267175674438,0.9443372488021851
mvtec_ad,grid,spalwinnn,bilinear,True,-1,11,True,0.98663330078125,0.9113175868988037
mvtec_ad,hazelnut,spalwinnn,bilinear,True,-1,11,True,0.9989285469055176,0.9517191648483276
mvtec_ad,leather,spalwinnn,bilinear,True,-1,11,True,0.9989809393882751,0.9688397645950317
mvtec_ad,metal_nut,spalwinnn,bilinear,True,-1,11,True,0.9995113611221313,0.9451164603233337
mvtec_ad,pill,spalwinnn,bilinear,True,-1,11,True,0.9323513507843018,0.9535720944404602
mvtec_ad,screw,spalwinnn,bilinear,True,-1,11,True,0.9854478240013123,0.9650495648384094
mvtec_ad,tile,spalwinnn,bilinear,True,-1,11,True,0.9920634627342224,0.8198750019073486
mvtec_ad,toothbrush,spalwinnn,bilinear,True,-1,11,True,0.9416666030883789,0.9151071310043335
mvtec_ad,transistor,spalwinnn,bilinear,True,-1,11,True,0.9937500357627869,0.9486426711082458
mvtec_ad,wood,spalwinnn,bilinear,True,-1,11,True,0.9877192974090576,0.8779988288879395
mvtec_ad,zipper,spalwinnn,bilinear,True,-1,11,True,0.9585083723068237,0.9420516490936279
visa,candle,spalwinnn,bilinear,True,-1,11,True,0.9389999508857727,0.9539418816566467
visa,capsules,spalwinnn,bilinear,True,-1,11,True,0.6736666560173035,0.7437151670455933
visa,cashew,spalwinnn,bilinear,True,-1,11,True,0.9742000102996826,0.8897316455841064
visa,chewinggum,spalwinnn,bilinear,True,-1,11,True,0.9900000691413879,0.7908291816711426
visa,fryum,spalwinnn,bilinear,True,-1,11,True,0.9315999746322632,0.8489692807197571
visa,macaroni1,spalwinnn,bilinear,True,-1,11,True,0.9151000380516052,0.9233973622322083
visa,macaroni2,spalwinnn,bilinear,True,-1,11,True,0.7639500498771667,0.8782146573066711
visa,pcb1,spalwinnn,bilinear,True,-1,11,True,0.9503999948501587,0.8943655490875244
visa,pcb2,spalwinnn,bilinear,True,-1,11,True,0.9595000147819519,0.8966187238693237
visa,pcb3,spalwinnn,bilinear,True,-1,11,True,0.9595049619674683,0.8722349405288696
visa,pcb4,spalwinnn,bilinear,True,-1,11,True,0.9953465461730957,0.8772202730178833
visa,pipe_fryum,spalwinnn,bilinear,True,-1,11,True,0.9935999512672424,0.9426828026771545
mvtec_ad,bottle,spalwinnn,bilinear,True,-1,13,True,1.0,0.9414246082305908
mvtec_ad,cable,spalwinnn,bilinear,True,-1,13,True,0.9643927812576294,0.9243745803833008
mvtec_ad,capsule,spalwinnn,bilinear,True,-1,13,True,0.9908256530761719,0.9409133195877075
mvtec_ad,carpet,spalwinnn,bilinear,True,-1,13,True,0.9759228229522705,0.9442301392555237
mvtec_ad,grid,spalwinnn,bilinear,True,-1,13,True,0.98663330078125,0.9121735095977783
mvtec_ad,hazelnut,spalwinnn,bilinear,True,-1,13,True,0.9992856979370117,0.9524564743041992
mvtec_ad,leather,spalwinnn,bilinear,True,-1,13,True,0.9989809393882751,0.9687691330909729
mvtec_ad,metal_nut,spalwinnn,bilinear,True,-1,13,True,0.9995113015174866,0.9461593627929688
mvtec_ad,pill,spalwinnn,bilinear,True,-1,13,True,0.9339879751205444,0.9535893797874451
mvtec_ad,screw,spalwinnn,bilinear,True,-1,13,True,0.9854477643966675,0.964937150478363
mvtec_ad,tile,spalwinnn,bilinear,True,-1,13,True,0.9924241900444031,0.8195638656616211
mvtec_ad,toothbrush,spalwinnn,bilinear,True,-1,13,True,0.9416666030883789,0.9151495695114136
mvtec_ad,transistor,spalwinnn,bilinear,True,-1,13,True,0.9937500357627869,0.9484267830848694
mvtec_ad,wood,spalwinnn,bilinear,True,-1,13,True,0.9885964393615723,0.8781957030296326
mvtec_ad,zipper,spalwinnn,bilinear,True,-1,13,True,0.9585083723068237,0.9421064257621765
visa,capsules,spalwinnn,bilinear,True,-1,13,True,0.6818333268165588,0.7601551413536072
visa,cashew,spalwinnn,bilinear,True,-1,13,True,0.9783999919891357,0.8911205530166626
visa,chewinggum,spalwinnn,bilinear,True,-1,13,True,0.9910000562667847,0.7905842065811157
visa,fryum,spalwinnn,bilinear,True,-1,13,True,0.9247999787330627,0.8518515825271606
